date,open,high,low,close,volume,source
2022-02-28,27.16,28.65,26.86,26.99,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-01,26.45,26.45,25.12,25.47,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-02,26.97,28.29,26.43,27.81,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-03,26.44,26.85,25.76,25.95,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-04,28.53,28.87,27.19,27.94,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-07,33.16,35.8,31.81,33.29,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-08,32.49,34.83,31.46,33.91,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-09,32.11,36.38,31.45,32.6,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-10,30.72,31.32,29.84,30.45,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-11,32.27,34.1,30.86,31.75,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-14,34.28,38.51,34.28,38.02,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-15,41.95,50.83,40.45,49.44,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-16,41.91,45.16,39.72,41.1,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-17,43.26,43.26,36.93,37.58,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-18,37.25,37.25,33.17,33.21,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-21,33.96,34.81,33.64,33.89,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-22,33.05,33.06,29.74,30.07,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-23,29.21,29.38,27.93,28.28,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-24,28.87,28.89,27.29,28.71,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-25,29.26,32.36,28.42,31.56,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-28,32.06,32.48,29.98,30.16,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-29,28.9,28.91,28.0,28.17,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-30,27.18,27.28,26.02,26.76,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-03-31,26.76,27.65,25.75,25.82,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-01,27.66,27.79,25.65,25.81,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-04,25.79,25.95,24.95,25.1,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-06,25.56,27.01,25.56,26.97,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-07,27.53,28.29,26.7,27.83,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-08,27.61,28.08,27.05,27.07,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-11,28.33,32.01,28.33,31.5,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-12,30.82,31.7,29.8,30.58,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-13,30.37,30.52,27.94,28.72,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-14,28.04,28.28,27.53,27.69,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-19,29.24,30.45,28.59,29.27,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-20,28.63,28.72,26.88,27.76,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-21,28.26,29.75,27.36,28.91,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-22,30.47,30.83,28.48,28.95,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-25,33.6,36.19,32.1,35.13,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-26,34.61,34.78,31.63,34.06,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-27,35.08,35.08,30.41,33.7,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-28,32.87,33.24,28.95,31.44,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-04-29,31.07,31.89,29.68,31.51,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-03,31.99,32.76,31.19,31.32,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-04,30.73,31.01,30.3,30.46,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-05,28.96,29.73,28.81,29.61,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-06,32.17,33.62,31.89,32.95,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-10,36.11,37.96,34.61,35.55,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-11,35.85,35.85,34.23,34.38,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-12,34.91,35.76,33.84,35.37,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-13,34.23,34.3,32.96,33.19,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-16,32.61,33.55,32.61,32.93,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-17,31.57,32.33,31.13,31.9,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-18,31.53,31.79,30.85,30.85,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-19,33.44,33.51,32.19,32.71,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-20,31.33,31.74,31.02,31.5,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-23,26.42,32.48,26.42,31.62,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-24,31.54,32.34,31.12,31.96,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-25,32.25,33.32,30.44,31.33,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-26,31.09,32.51,30.45,30.52,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-27,28.81,29.21,28.25,28.36,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-30,28.37,28.48,27.61,27.74,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-05-31,27.69,27.74,27.21,27.47,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-01,27.43,27.68,27.03,27.06,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-02,27.39,27.71,27.27,27.61,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-06,28.06,28.56,27.59,28.26,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-07,28.27,28.43,27.86,27.99,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-08,27.89,28.11,27.71,27.81,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-09,27.49,28.02,27.44,27.44,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-10,28.46,28.46,27.29,27.68,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-13,30.8,31.6,29.04,31.54,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-14,32.54,32.59,30.2,31.11,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-15,30.95,31.05,29.76,30.96,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-16,29.49,31.94,29.45,31.65,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-17,32.03,32.03,31.06,31.07,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-20,31.61,32.05,30.56,30.56,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-21,30.1,30.16,28.85,29.0,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-22,29.01,30.1,28.9,29.97,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-23,29.56,29.79,29.22,29.67,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-24,29.9,30.1,29.56,29.83,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-27,30.15,31.36,30.15,31.02,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-28,30.48,30.92,29.99,30.42,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-29,30.56,31.01,30.3,30.8,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-06-30,30.57,31.29,29.91,30.69,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-04,31.45,31.91,30.23,30.27,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-05,29.53,29.8,29.32,29.43,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-06,29.28,29.87,28.66,28.78,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-07,28.81,29.03,27.93,27.93,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-08,27.77,27.77,26.24,26.32,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-11,27.76,28.81,27.72,28.46,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-12,28.87,29.27,28.46,29.16,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-13,28.93,28.98,28.3,28.7,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-14,28.9,29.29,28.08,28.7,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-15,29.01,30.28,27.89,29.97,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-18,30.04,30.6,29.12,29.15,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-19,29.4,29.46,28.66,28.84,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-20,27.99,28.02,27.27,27.35,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-21,27.66,27.72,27.04,27.67,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-22,27.26,27.36,26.73,26.74,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-25,28.36,28.63,26.66,26.76,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-26,26.62,26.65,25.13,25.29,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-27,25.56,25.56,24.86,25.18,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-28,24.97,24.99,23.74,23.82,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-07-29,22.81,25.25,22.17,24.69,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-01,26.37,26.75,25.38,25.71,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-02,27.63,29.81,27.63,28.98,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-03,26.99,27.41,26.11,26.89,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-04,25.34,25.74,25.18,25.33,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-05,25.11,25.14,23.99,23.99,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-08,24.84,25.18,24.61,24.64,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-09,24.42,24.82,23.43,23.45,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-10,23.86,26.54,23.55,25.54,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-11,24.46,24.62,23.77,23.81,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-12,23.52,23.84,23.18,23.19,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-15,24.24,24.42,23.76,23.83,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-16,23.82,24.91,23.31,24.31,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-17,23.97,24.21,23.5,23.73,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-18,23.86,24.2,23.59,23.86,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-19,23.99,24.07,22.99,23.17,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-22,24.73,24.73,23.16,23.47,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-23,23.75,24.57,23.24,23.95,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-24,23.72,24.84,23.72,24.47,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-25,23.72,24.59,23.33,24.23,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-26,23.97,24.66,23.97,24.48,0,akshare.stock_hk_index_daily_sina(VHSI)
2022-08-29,26.25,26.49,25.54,25.55,0,akshare.stock_hk_index_daily_sina(VHSI)
