wind_norm,name,ede_list_date,board,industry_concept,concepts,industry_hsics,hsics_l1_name,hsics_index_code,hsics_index_name,industry,industry_source
1895.HK,鑫苑服务,2019-10-11,主板,其他,万得(港股)中国企业综合指数成份,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1896.HK,猫眼娱乐,2019-02-04,主板,TMT/互联网,[HK]谷子经济;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]核心资产;[HK]互联网;[HK]腾讯;[HK]影视传媒,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1897.HK,美亨实业,2019-03-19,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1898.HK,中煤能源,2006-12-19,主板,其他,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]煤炭;[HK]核心资产;[HK]国企;[HK]国企改革;[HK]一带一路;[HK]央企,新能源/汽车,能源业,HSCIEN.HI,恒生综合行业指数-能源业,新能源/汽车,hsics
1899.HK,兴达国际,2006-12-21,主板,其他,万得(港股)中国企业综合指数成份,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1900.HK,中国智能交通,2010-07-15,主板,其他,万得(港股)中国企业综合指数成份;[HK]智能交通,TMT/互联网,电讯业,HSCITC.HI,恒生综合行业指数-电讯业,TMT/互联网,hsics
1901.HK,飞扬集团,2019-06-28,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1903.HK,JBB BUILDERS,2019-05-10,主板,其他,[HK]外资企业,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1905.HK,海通恒信,2019-06-03,主板,其他,万得(港股)中国企业综合指数成份;[HK]融资租赁;[HK]地方国企;[HK]国企,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
1906.HK,博尼控股,2019-04-26,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1907.HK,中国旭阳集团,2019-03-15,主板,其他,万得(港股)中国企业综合指数成份;[HK]港股通,工业/制造,原材料业,HSCIMT.HI,恒生综合行业指数-原材料业,工业/制造,hsics
1908.HK,建发国际集团,2012-12-14,主板,地产/建筑,[HK]养老产业;万得(港股)中国企业综合指数成份;[HK]港股通;[HK]核心资产;[HK]地方国企;[HK]国企;[HK]内地房地产;[HK]物业投资,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1909.HK,火岩控股,2016-02-18,主板,TMT/互联网,万得(港股)中国企业综合指数成份;[HK]AIGC;[HK]手机游戏,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
1910.HK,新秀丽,2011-06-16,主板,消费/零售,[HK]港股通;[HK]香港本地消费;[HK]香港零售;[HK]核心资产;[HK]现代服务业,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1911.HK,华兴资本控股,2018-09-27,主板,其他,[HK]稳定币;万得(港股)中国企业综合指数成份;[HK]外资企业,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
1912.HK,康特隆,2019-07-16,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,TMT/互联网,资讯科技业,HSCIIT.HI,恒生综合行业指数-信息科技业,TMT/互联网,hsics
1913.HK,普拉达,2011-06-24,主板,消费/零售,[HK]新经济;[HK]香港本地消费;[HK]香港零售;[HK]蓝筹股;[HK]核心资产;[HK]外资企业;[HK]奢侈品;[HK]双十一;[HK]品牌服饰,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1915.HK,泰和小贷,2017-05-08,主板,其他,万得(港股)中国企业综合指数成份,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
1916.HK,江西银行,2018-06-26,主板,金融,万得(港股)中国企业综合指数成份;[HK]中资银行,金融,金融业,HSCIFN.HI,恒生综合行业指数-金融业,金融,hsics
1917.HK,豆盟科技,2019-03-14,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1918.HK,融创中国,2010-10-07,主板,地产/建筑,万得(港股)中国企业综合指数成份;[HK]港股通;[HK]内地房地产;[HK]外资企业;[HK]参股万达;[HK]纳入MSCI香港;[HK]蓝筹地产,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1919.HK,中远海控,2005-06-30,主板,其他,万得(港股)中国企业综合指数成份;[HK]老经济;[HK]港股通;[HK]核心资产;[HK]央企;[HK]国企;[HK]国企改革;[HK]纳入MSCI香港;[HK]一带一路;[HK]港口运输,工业/制造,工业,HSCIIN.HI,恒生综合行业指数-工业,工业/制造,hsics
1920.HK,巨美集团,2019-08-16,主板,其他,万得(港股)中国企业综合指数成份;[HK]外资企业,地产/建筑,地产建筑业,HSCIPC.HI,恒生综合行业指数-地产建筑业,地产/建筑,hsics
1921.HK,达力普控股,2019-11-08,主板,其他,万得(港股)中国企业综合指数成份;[HK]港股通,新能源/汽车,能源业,HSCIEN.HI,恒生综合行业指数-能源业,新能源/汽车,hsics
1925.HK,旷世芳香,2020-01-16,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
1927.HK,久久王,2021-03-16,主板,其他,万得(港股)中国企业综合指数成份,消费/零售,必需性消费,HSCICS.HI,恒生综合行业指数-必需性消费,消费/零售,hsics
1928.HK,金沙中国有限公司,2009-11-30,主板,其他,万得(港股)中国企业综合指数成份;[HK]新经济;[HK]港股通;[HK]蓝筹股;[HK]核心资产;[HK]外资企业;[HK]博彩,消费/零售,非必需性消费,HSCICD.HI,恒生综合行业指数-非必需性消费,消费/零售,hsics
